method,parent_id,parent_smiles,product_smiles,transform,nearest_original_id,nearest_original_smiles,max_tanimoto_to_any_original,similarity_to_assigned_parent,similarity_bucket
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=S)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,0.9082,0.9082,very_high
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=S)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,0.9,0.9,very_high
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=S)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,0.9,0.9,very_high
bioisosteric_swaps,CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,CC(=O)C1=C(O)C(=S)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,amide_to_thioamide,CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,0.7885,0.7885,high
bioisosteric_swaps,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,CCC[C@H](NC(=S)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,amide_to_thioamide,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.7818,0.7818,high
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(N)=O)nc2c(Cl)cccc2c1=O,acid_to_amide,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.8571,0.8571,very_high
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(O)=S)nc2c(Cl)cccc2c1=O,acid_to_thioacid,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.873,0.873,very_high
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=S)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,amide_to_thioamide,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.8438,0.8438,high
bioisosteric_swaps,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=S)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,amide_to_thioamide,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,0.8706,0.8706,very_high
bioisosteric_swaps,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=S)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,amide_to_thioamide,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,0.8706,0.8706,very_high
bioisosteric_swaps,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=S)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,amide_to_thioamide,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.9079,0.9079,very_high
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,NC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,acid_to_amide,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,0.8364,0.8364,high
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(O)=S)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,acid_to_thioacid,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,0.8545,0.8545,very_high
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=S)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,amide_to_thioamide,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,0.8393,0.8393,high
bioisosteric_swaps,CHEMBL5267683,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,S=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,amide_to_thioamide,CHEMBL5267683,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,0.7778,0.7778,high
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cc5nccc(-c6cccc(Br)n6)c5s4)c3s2)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2022,0.2979,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cc5nccc(-c6ccnc7cc(-c8cccc(Br)n8)sc67)c5s4)c3s2)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2184,0.3043,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cccc(Br)n4)c3s2)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2069,0.3111,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4ccnc5cc(-c6cc7nccc(-c8cccc(Br)n8)c7s6)sc45)c3s2)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2159,0.2979,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4ccnc5cc(-c6cccc(Br)n6)sc45)c3s2)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2235,0.3182,low
fragment_growing,[12*]S(=O)(=O)c1ccc([14*])nc1,[12*]S(=O)(=O)c1ccc([14*])nc1,Brc1cccc(-c2cccc(Br)n2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.2264,0.1176,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.2321,0.2,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.2281,0.1923,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.2281,0.1923,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2ccnc3cc(-c4cc5nccc(-c6cc7nccc(-c8cccc(Br)n8)c7s6)c5s4)sc23)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2045,0.3043,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2ccnc3cc(-c4cc5nccc(-c6cccc(Br)n6)c5s4)sc23)n1,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2093,0.3182,low
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(C3CCN(C4CCN(c5cccc(Br)n5)CC4)CC3)CC2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.1622,0.1087,low
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(C3CCN(c4cccc(Br)n4)CC3)CC2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.1622,0.1087,low
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(c3cccc(Br)n3)CC2)n1,core_plus_one_side_fragment,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.1765,0.125,low
